CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53009002;CEF 411 DE SAMAMBAIA;3015268;720439;1418;NULL;469020;384;2.38930337203857E+16;6.51019725472941E+15;0.0019682443621181;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102521;COLEGIO RECANTO DO SABER;1516113;279830;474;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00169388557338384;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52054209;COLEGIO ESTADUAL MARTINS BORGES;235647;48352;1096;NULL;24520;19;2.05188268893727E+16;507114493712773;0.0226671078755791;NULL
52;Goias;GO;5221858;Valparaíso de Goiás;5;5204;52012;52047300;COLEGIO ESTADUAL DESEMBARGADOR DILERMANDO MEIRELES;168468;41597;613;NULL;27250;65;2.46913360400788E+15;6.55095319373993E+15;0.0147366396615141;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53011589;CEF 30 DE CEILANDIA;3015268;720439;785;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00108961341626425;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005015;CEM 01 DE BRAZLANDIA;3015268;720439;1289;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00178918687078295;NULL
50;Mato Grosso do Sul;MS;5007406;Rio Verde de Mato Grosso;5;5002;50003;50004158;ESCOLA MUNICIPAL POLO DR CESAR GALVAO;19746;4862;548;0;1780;NULL;2.46227083966373E+16;3.66104483751543E+15;0.112710818593172;0
52;Goias;GO;5220207;São Miguel do Araguaia;5;5201;52001;52001199;COLEGIO ESTADUAL DE SAO MIGUEL DO ARAGUAIA;21993;5595;892;NULL;3290;197;2.54399126994953E+16;5.88025022341376E+16;0.159428060768543;NULL
51;Mato Grosso;MT;5105176;Juruena;5;5101;51001;51194830;UNIDADE DE EDUCACAO INFANTIL JARDIM ENCANTADO;15865;2903;272;31;1330;NULL;1.82981405609833E+16;4.58146744746814E+15;0.0936961763692732;0.113970588235294
52;Goias;GO;5210406;Itaberaí;5;5203;52007;52023540;ESCOLA MUNICIPALIZADA SAO BENEDITO;42900;10490;347;132;3200;NULL;2.44522144522145E+16;3.05052430886559E+16;0.0330791229742612;0.371830985915493
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53001702;CEF 405 SUL;3015268;720439;405;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000562157240238244;NULL
52;Goias;GO;5208400;Goianápolis;5;5203;52010;52068994;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS BENEDITA BRITO DE ANDRADE;11231;3140;687;NULL;1880;NULL;2.79583296233639E+16;5.98726114649682E+15;0.218789808917197;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53006518;EC PARANA;3015268;720439;471;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00065376804975855;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52076954;CENTRO COMUNITARIO E CRECHE SAO PIO X;1516113;279830;130;130;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000464567773290927;1
52;Goias;GO;5208707;Goiânia;5;5203;52010;52103420;ESCOLA RODA VIVA;1516113;279830;186;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000664689275631634;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52033430;COLEGIO ESTADUAL EDMUNDO ROCHA VILA MUTIRAO;1516113;279830;839;NULL;130490;14;1.84570675140969E+16;4.66318836436408E+15;0.00299824893685452;NULL
50;Mato Grosso do Sul;MS;5002407;Caarapó;5;5004;50010;50024914;CMEI ARISTIDES MACIEL DA SILVA;30174;8732;149;2;4110;NULL;2.89388215019553E+16;4.70682546953733E+15;0.0170636738433349;0.0134228187919463
52;Goias;GO;5207808;Firminópolis;5;5203;52009;52029220;ESCOLA ESTADUAL JOSE MANOEL DA SILVA;13292;1984;291;NULL;440;NULL;1.49262714414686E+16;2.21774193548387E+15;0.146673387096774;NULL
52;Goias;GO;5208608;Goianésia;5;5203;52006;52015971;ESCOLA ESTADUAL PADRE ASTERIO PASCOAL;70084;16771;277;NULL;6840;NULL;2.39298556018492E+15;4.07846878540337E+16;0.0165166060461511;NULL
50;Mato Grosso do Sul;MS;5006903;Porto Murtinho;5;5001;50001;50000829;EMR DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL BONIFACIO GOMES POLO E EXTENSOES;17131;4125;523;0;3240;23;2.40791547487012E+16;7.85454545454545E+15;0.126787878787879;0
51;Mato Grosso;MT;5106224;Nova Mutum;5;5101;51006;51068001;E M 04 DE JULHO - E F;45378;16202;1436;195;29310;NULL;3.57045264224955E+15;1.80903592149117E+15;0.0886310332057771;0.13448275862069
50;Mato Grosso do Sul;MS;5007406;Rio Verde de Mato Grosso;5;5002;50003;50029304;CEI - PEQUENO PRINCIPE;19746;4862;123;123;1780;NULL;2.46227083966373E+16;3.66104483751543E+15;0.0252982311805841;1
51;Mato Grosso;MT;5104542;Itanhangá;5;5101;51006;51094410;CEI PEQUENO PRINCIPE;6737;2026;308;0;110;NULL;3.0072732670328E+15;5.4294175715696E+15;0.152023692003949;0
52;Goias;GO;5208707;Goiânia;5;5203;52010;52094308;ESC MUL LUZIA DE SOUZA FIUZA;1516113;279830;519;1;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00185469749490762;0.00192678227360308
50;Mato Grosso do Sul;MS;5003207;Corumbá;5;5001;50001;50032267;ESCOLA MUNICIPAL RURAL DE EDUCACAO INTEGRAL POLO PARAGUAI MIRIM E EXTENSOES;111435;29696;92;92;18640;NULL;2.66487189841612E+15;6.27693965517241E+15;0.00309806034482759;1
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53003640;CED CATOLICA DE BRASILIA;3015268;720439;3027;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00420160485481769;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51038722;EE JOAQUINA CERQUEIRA CALDAS;612547;163720;493;NULL;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00301123870021989;NULL
50;Mato Grosso do Sul;MS;5004106;Guia Lopes da Laguna;5;5004;50009;50014463;EM BASILIO BARBOSA;9895;2939;695;13;2050;NULL;2.97018696311268E+15;6.9751616195985E+15;0.236474991493705;0.018361581920904
51;Mato Grosso;MT;5106281;Novo São Joaquim;5;5102;51010;51023466;EMEB JOAQUIM RODRIGUES SOTO;5074;1757;403;1;1240;NULL;3.4627512810406E+15;7.057484348321E+15;0.229368241320433;0.00242130750605327
50;Mato Grosso do Sul;MS;5003454;Deodápolis;5;5004;50011;50019660;EE 13 DE MAIO;12924;4017;850;NULL;2280;NULL;3.10817084493965E+15;5.67587752053772E+15;0.21160069703759;NULL
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51059983;EMEB AIR ADDOR;284971;72805;625;8;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.00858457523521736;0.0128
52;Goias;GO;5212501;Luziânia;5;5204;52012;52103099;COLEGIO ESTADUAL DELFINO OCLECIO MACHADO;208299;48191;1866;NULL;23520;346;2.31354927292018E+16;4.88057936129153E+16;0.03872092299392;NULL
52;Goias;GO;5201405;Aparecida de Goiânia;5;5203;52010;52031454;COLEGIO ESTADUAL JESUS CONCEICAO LEAL;578179;116323;1193;NULL;68640;388;2.01188559252411E+16;5.90081067372747E+16;0.0102559253114173;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50005618;COLEGIO ADVENTISTA JARDIM DOS ESTADOS;895982;233503;859;NULL;105920;NULL;2.60611262279823E+16;4.53613015678599E+15;0.00367875359203094;NULL
51;Mato Grosso;MT;5100359;Alto Boa Vista;5;5102;51009;51018551;EE JOAO REZENDE DE AZEVEDO;6822;1364;503;NULL;430;43;1.99941366168279E+15;3.1524926686217E+15;0.368768328445748;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53017471;CEPI FLAMBOYANT;3015268;720439;148;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000205430300136445;NULL
52;Goias;GO;5208608;Goianésia;5;5203;52006;52016005;ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA;70084;16771;661;NULL;6840;208;2.39298556018492E+15;4.07846878540337E+16;0.0394132729115736;NULL
51;Mato Grosso;MT;5108006;Tapurah;5;5101;51006;51067617;CMEI MONTEIRO LOBATO;13705;3581;254;140;2580;NULL;2.61291499452755E+15;7.20469142697571E+15;0.0709299078469701;0.551181102362205
52;Goias;GO;5200605;Alto Paraíso de Goiás;5;5202;52005;52096920;ESCOLA VILA VERDE;7624;2226;67;NULL;1080;NULL;2.91972717733473E+15;4.85175202156334E+15;0.0300988319856244;NULL
52;Goias;GO;5208608;Goianésia;5;5203;52006;52016730;ESCOLA MUNICIPAL PROFESSORA MARIA GERUSA CARBONARO DE ANDRADE;70084;16771;192;0;6840;NULL;2.39298556018492E+15;4.07846878540337E+16;0.0114483334327112;0
51;Mato Grosso;MT;5107958;Tangará da Serra;5;5103;51013;51056984;CENTRO DE ENSINO TECNICO PIRAMIDE;103750;28351;157;NULL;20560;14;2.7326265060241E+15;7.25194878487531E+15;0.00553772353708864;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53006356;EC BROCHADO DA ROCHA;3015268;720439;121;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000167953150787228;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51067293;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROF JAIRA CUIABANO CORREA DA COSTA;612547;163720;240;147;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00146591741998534;0.6125
51;Mato Grosso;MT;5107602;Rondonópolis;5;5105;51021;51093758;CENTRO DE ENSINO GALILEU GALILEI;232491;57218;374;NULL;32310;NULL;2.46108451509951E+16;5.64682442587997E+15;0.00653640462791429;NULL
52;Goias;GO;5211909;Jataí;5;5205;52013;52094022;CENTRO EDUCACIONAL TALENTO LTDA-ME;100882;23357;115;NULL;9160;NULL;2.31527923712853E+16;3.92173652438241E+16;0.00492357751423556;NULL
52;Goias;GO;5219712;Santo Antônio da Barra;5;5205;52013;52055680;ESCOLA MUNICIPAL SANTA MARTA;4821;979;51;0;380;NULL;2.03069902509853E+16;3.88151174668029E+15;0.052093973442288;0
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102670;ESCOLA PORTAL DO SABER;1516113;279830;99;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000353786227352321;NULL
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51043297;EMEB JOAQUIM DA CRUZ COELHO;284971;72805;368;64;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.00505459789849598;0.173913043478261
51;Mato Grosso;MT;5106778;Porto Alegre do Norte;5;5102;51009;51190990;EE ANTONIA LEAO DOS SANTOS;12517;2938;151;NULL;3800;26;2.34720779739554E+16;1.29339686861811E+16;0.0513955071477195;NULL
51;Mato Grosso;MT;5108600;Vila Rica;5;5102;51009;51021218;EM NOVA LISBOA;26037;4898;44;0;4980;NULL;1.88116910550371E+16;1.01674152715394E+16;0.00898325847284606;0
52;Goias;GO;5209101;Goiatuba;5;5205;52015;52073211;ESCOLA MUNICIPAL GERALDO DE ASSIS LOPES;34095;7402;200;16;3520;NULL;2.17099281419563E+16;4.75547149419076E+15;0.0270197243988111;0.0744186046511628
52;Goias;GO;5203500;Bom Jesus de Goiás;5;5205;52015;52058050;ESCOLA MUNICIPAL PEDRO LUDOVICO TEIXEIRA;25216;5523;396;0;4480;NULL;2.19027601522843E+16;8.11153358681876E+15;0.0717001629549158;0
52;Goias;GO;5201405;Aparecida de Goiânia;5;5203;52010;52031179;ESCOLA FONTE DO SABER EIRELI ME;578179;116323;28;NULL;68640;NULL;2.01188559252411E+16;5.90081067372747E+16;0.000240709060117088;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102823;ESCOLA DE EDUCACAO INFANTIL PIAGET;1516113;279830;121;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00043240538898617;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52100286;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MORADA DO SOL;1516113;279830;217;217;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000775470821570239;1
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51093979;CRECHE MUNICIPAL EDNA CATHARINA PERRI RICCI;612547;163720;106;106;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.000647446860493525;1
52;Goias;GO;5211909;Jataí;5;5205;52013;52099628;CENTRO MUNICIPAL DE EDUCACAO INFANTIL EUDES ASSIS CARVALHO;100882;23357;98;98;9160;NULL;2.31527923712853E+16;3.92173652438241E+16;0.004195744316479;1
51;Mato Grosso;MT;5105259;Lucas do Rio Verde;5;5101;51006;51068842;CEI GIRASSOL;65534;21045;476;26;10170;NULL;3.2113101596118E+16;4.83250178189594E+15;0.0226181990971727;0.0546218487394958
52;Goias;GO;5213103;Mineiros;5;5205;52013;52053458;CENTRO DE ENSINO EM PERIODO INTEGRAL CORONEL CARRIJO;66801;16264;251;NULL;6100;NULL;2.43469409140582E+16;3.75061485489425E+15;0.0154328578455485;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50025821;EMEI - SERRADINHO;895982;233503;162;121;105920;NULL;2.60611262279823E+16;4.53613015678599E+15;0.000693781236215381;0.746913580246914
51;Mato Grosso;MT;5103908;General Carneiro;5;5105;51020;51091267;EE INDIGENA ADAO TOPTIVO;5540;1755;154;NULL;1370;28;3.16787003610108E+15;7.80626780626781E+15;0.0877492877492878;NULL
52;Goias;GO;5220108;São Luís de Montes Belos;5;5203;52009;52082067;ESCOLA MUNICIPAL DE ROSALANDIA;33817;6995;23;0;2690;NULL;2.06848626430494E+16;3.84560400285919E+15;0.00328806290207291;0
50;Mato Grosso do Sul;MS;5004007;Glória de Dourados;5;5004;50011;50020390;EM DOIS DE MAIO - POLO;9965;2701;551;0;1350;NULL;2.71048670346212E+15;4.99814883376527E+15;0.203998519067012;0
51;Mato Grosso;MT;5102793;Carlinda;5;5101;51002;51092590;ESCOLA DE EDUCACAO ESPECIAL LUZ E VIDA;10305;2455;34;NULL;1430;32;2.38233867054828E+16;5.82484725050917E+15;0.0138492871690428;NULL
52;Goias;GO;5201108;Anápolis;5;5203;52007;52221350;ESCOLA CRESCENDO E APRENDENDO;386923;89054;74;NULL;44350;NULL;2.30159489097314E+16;4.98012441889191E+15;0.0008309564983044;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53013719;CED SARON;3015268;720439;13;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;1.80445533903634E-05;NULL
50;Mato Grosso do Sul;MS;5005152;Juti;5;5004;50010;50017799;EE 31 DE MARCO;6712;1833;823;NULL;0;NULL;2.73092967818832E+16;0;0.44899072558647;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51091186;CRECHE MUN MARIA NERY BATISTA RIBEIRO;612547;163720;78;78;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.000476423161495236;1
52;Goias;GO;5221403;Trindade;5;5203;52010;52040178;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA PEDRO DE JESUS;127599;29506;202;90;13690;NULL;2.31240056740257E+16;4.63973429133058E+16;0.00684606520707653;0.445544554455446
51;Mato Grosso;MT;5105101;Juara;5;5101;51005;51110202;EE INDIGENA KRIXI BAROMPO;34974;8612;61;NULL;5330;NULL;2.46240064047578E+15;6.18903855085927E+15;0.00708313980492336;NULL
52;Goias;GO;5213756;Montividiu;5;5205;52013;52103510;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SEBASTIANA SILVA CRUVINEL DONA NENE;13396;2698;144;144;1010;NULL;2.01403404001194E+16;374351371386212;0.0533728687916976;1
51;Mato Grosso;MT;5106307;Paranatinga;5;5101;51008;51058642;ESCOLA MUNICIPAL DO CAMPO GERALDO JOSE DELAI;22563;6153;60;0;3860;NULL;2.72703097992288E+16;6.27336258735576E+15;0.00975134080936129;0
52;Goias;GO;5221809;Urutaí;5;5205;52016;52172201;CRECHE MUNICIPAL NOSSA SENHORA DE FATIMA;3072;1240;78;46;240;NULL;4.03645833333333E+15;1.93548387096774E+15;0.0629032258064516;0.58974358974359
52;Goias;GO;5208608;Goianésia;5;5203;52006;52015947;ESCOLA ESTADUAL COMENDADOR GEREMIAS LUNARDELLI;70084;16771;16;NULL;6840;NULL;2.39298556018492E+15;4.07846878540337E+16;0.000954027786059269;NULL
50;Mato Grosso do Sul;MS;5005681;Mundo Novo;5;5004;50011;50021206;EE CASTELO BRANCO;18366;4792;1260;NULL;2790;115;2.60916911684635E+16;582220367278798;0.262938230383973;NULL
51;Mato Grosso;MT;5101803;Barra do Garças;5;5102;51011;51055635;CMEI PROFESSORA ESMERALDA GOMES DE CARVALHO;61012;17379;195;148;10830;NULL;2.84845604143447E+15;6.23165889867081E+16;0.0112204384602106;0.758974358974359
52;Goias;GO;5200803;Alvorada do Norte;5;5204;52011;52040364;ESCOLA MUNICIPAL PROFESSORA ODILIA JUSTA DA SILVA;8660;2290;680;10;490;NULL;2.64434180138568E+15;2.13973799126638E+16;0.296943231441048;0.0141242937853107
50;Mato Grosso do Sul;MS;5002100;Bela Vista;5;5004;50009;50024213;ESCOLA MUNICIPAL INDIGENA PIRACUA;24629;6669;127;0;1650;NULL;2.70778350724755E+16;2.47413405308142E+16;0.0190433348328085;0
50;Mato Grosso do Sul;MS;5006309;Paranaíba;5;5003;50006;50011405;EE JOSE GARCIA LEAL;42148;9740;1605;NULL;2490;109;2.31090443200152E+16;2.5564681724846E+16;0.164784394250513;NULL
51;Mato Grosso;MT;5106372;Pedra Preta;5;5105;51021;51050811;ESCOLA MUNICIPAL SAO SEBASTIAO;17626;4818;257;10;3700;NULL;2.73346193123794E+15;767953507679535;0.0533416355334164;0.0363636363636364
51;Mato Grosso;MT;5106257;Nova Xavantina;5;5102;51010;51059339;CENTRO DE EDUCACAO INFANTIL GIOVANNA MARRA - IRMA FRANCISCA;21374;4870;306;0;2740;NULL;2.27846916814822E+16;5.62628336755647E+15;0.0628336755646817;0
52;Goias;GO;5209200;Guapó;5;5203;52010;52038491;ESC MUL MANOEL RIBEIRO ROSA;14209;3604;193;0;1550;NULL;253642057850658;4.3007769145394E+16;0.0535516093229745;0
51;Mato Grosso;MT;5102504;Cáceres;5;5104;51018;51045540;EM BUSCANDO O SABER;94376;25044;249;35;20050;NULL;2.65364075612444E+16;8.00590959910558E+15;0.00994250119789171;0.140562248995984
52;Goias;GO;5201108;Anápolis;5;5203;52007;52021017;ESCOLA PATRONATO MADRE MAZZARELLO;386923;89054;671;NULL;44350;NULL;2.30159489097314E+16;4.98012441889191E+15;0.00753475419408449;NULL
52;Goias;GO;5200258;Águas Lindas de Goiás;5;5204;52012;52075583;COLEGIO ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;212440;53455;1626;NULL;25360;407;2.51623987949539E+15;4.74417734543074E+15;0.030418108689552;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53003578;CED 02 DE TAGUATINGA;3015268;720439;2235;NULL;469020;2206;2.38930337203857E+16;6.51019725472941E+15;0.00310227514057401;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005309;CAIC JULIA KUBITSCHEK DE OLIVEIRA;3015268;720439;1393;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00193354329790586;NULL
51;Mato Grosso;MT;5106158;Nova Bandeirantes;5;5101;51002;51004917;E M JOSE LUIZ CANDIDO;15288;2909;381;52;500;NULL;190279958137101;1.71880371261602E+16;0.130972842901341;0.136482939632546
52;Goias;GO;5208608;Goianésia;5;5203;52006;52015998;ESCOLA ESTADUAL PEDRO MENDONCA;70084;16771;496;NULL;6840;NULL;2.39298556018492E+15;4.07846878540337E+16;0.0295748613678373;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50024507;EM AGRICOLA GOV ARNALDO ESTEVAO DE FIGUEIREDO;895982;233503;443;443;105920;NULL;2.60611262279823E+16;4.53613015678599E+15;0.00189719189903342;0.982261640798226
51;Mato Grosso;MT;5101803;Barra do Garças;5;5102;51011;51024519;CENTRO MUNICIPAL DE EDUCACAO BASICA MARECHAL RONDON;61012;17379;86;0;10830;NULL;2.84845604143447E+15;6.23165889867081E+16;0.00494850106450314;0
51;Mato Grosso;MT;5107958;Tangará da Serra;5;5103;51013;51028484;EE MANOEL MARINHEIRO;103750;28351;473;NULL;20560;NULL;2.7326265060241E+15;7.25194878487531E+15;0.016683714860146;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53011449;COL EDUCRIARTE;3015268;720439;157;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00021792268325285;NULL
52;Goias;GO;5204904;Campos Belos;5;5202;52005;52012620;COLEGIO ESTADUAL FELISMINA CARDOSO BATISTA;19887;6017;621;NULL;2370;NULL;3.02559460954392E+15;3.93883995346518E+15;0.103207578527505;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50009141;COLEGIO STATUS - JARDIM PAULISTA;895982;233503;567;NULL;105920;NULL;2.60611262279823E+16;4.53613015678599E+15;0.00242823432675383;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53015320;CR CRUZ DE MALTA NOSSA SENHORA DO FILERMO;3015268;720439;253;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000351174769827841;NULL
51;Mato Grosso;MT;5105580;Marcelândia;5;5101;51007;51060558;EE PAULO FREIRE;10499;3016;788;NULL;0;NULL;2.87265453852748E+15;0;0.261273209549072;NULL
51;Mato Grosso;MT;5107958;Tangará da Serra;5;5103;51013;51027941;CMAE ULISSES GUIMARAES;103750;28351;80;80;20560;NULL;2.7326265060241E+15;7.25194878487531E+15;0.0028217699552044;1
52;Goias;GO;5201108;Anápolis;5;5203;52007;52093298;ESCOLA MUNICIPAL PROFESSOR ERNST HEEGER;386923;89054;763;2;44350;NULL;2.30159489097314E+16;4.98012441889191E+15;0.0085678352460305;0.00256410256410256
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51058855;EMEB PADRE RAIMUNDO CONCEICAO POMBO MOREIRA DA CRUZ;612547;163720;570;0;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00348155387246518;0
51;Mato Grosso;MT;5105606;Matupá;5;5101;51003;51055422;EM JANE PEREIRA LOPES;16566;5207;375;1;4660;NULL;3.14318483641193E+15;8.94949106971385E+15;0.0720184367198003;0.00259067357512953
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53002571;CE DO SESI - DF GAMA;3015268;720439;616;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000855034222189526;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53019806;CED SAO FRANCISCO;3015268;720439;1478;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00205152691622747;NULL
51;Mato Grosso;MT;5105259;Lucas do Rio Verde;5;5101;51006;51069180;ESCOLA ESTADUAL MARCIO SCHABATT SOUZA;65534;21045;1352;NULL;10170;692;3.2113101596118E+16;4.83250178189594E+15;0.0642432881919696;NULL
51;Mato Grosso;MT;5107958;Tangará da Serra;5;5103;51013;51028549;EE RAMON SANCHES MARQUES;103750;28351;234;NULL;20560;NULL;2.7326265060241E+15;7.25194878487531E+15;0.00825367711897288;NULL
51;Mato Grosso;MT;5108956;Nova Monte Verde;5;5101;51002;51005727;EMEF DOM JOAO VI;9178;1842;65;0;780;NULL;2.0069731967749E+16;4.23452768729642E+15;0.0352877307274701;0
52;Goias;GO;5203575;Bonópolis;5;5202;52004;52069460;ESCOLA MUNICIPAL DE NOVA VILA;4405;744;9;0;0;NULL;1.68898978433598E+15;0;0.0120967741935484;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53007670;EC 06 DE CEILANDIA;3015268;720439;787;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00109238950140123;NULL
52;Goias;GO;5201108;Anápolis;5;5203;52007;52100456;ESCOLA ATRIUM;386923;89054;436;NULL;44350;NULL;2.30159489097314E+16;4.98012441889191E+15;0.00489590585487457;NULL
52;Goias;GO;5219001;Sanclerlândia;5;5203;52009;52029751;ESCOLA ESTADUAL ALTAMIRO DE REZENDE;7637;1565;60;NULL;490;10;2.04923399240539E+16;3.13099041533546E+16;0.0383386581469649;NULL
52;Goias;GO;5218300;Posse;5;5204;52011;52100928;IF GOIANO - CAMPUS POSSE;36900;10364;256;NULL;3130;NULL;2.80867208672087E+15;3.02006947124662E+15;0.0247008876881513;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51040131;EMEB FRANCISCO PEDROSO DA SILVA;612547;163720;766;0;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00467871976545321;0
52;Goias;GO;5209952;Indiara;5;5205;52014;52056520;ESCOLA MUNICIPAL ELIZABETH B D DE ALMEIDA;15611;3519;402;0;1020;8;2.25417974505157E+16;2.89855072463768E+16;0.114236999147485;0
51;Mato Grosso;MT;5103379;Cotriguaçu;5;5101;51001;51064456;EE SIDNEY CESAR FUHR;19750;2842;275;NULL;780;NULL;1.43898734177215E+15;2.74454609429979E+15;0.0967628430682618;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52036227;ESC MUL GO 04;1516113;279830;76;76;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000271593467462388;1
51;Mato Grosso;MT;5102686;Campos de Júlio;5;5101;51004;51090341;CRECHE MUNIC PEQ PRINCIPE;6891;2514;169;128;1590;NULL;3.64823683064867E+16;6.32458233890215E+15;0.0672235481304694;0.757396449704142
52;Goias;GO;5201405;Aparecida de Goiânia;5;5203;52010;52030660;CENTRO DE ENSINO EM PERIODO INTEGRAL GARAVELO PARK;578179;116323;385;NULL;68640;NULL;2.01188559252411E+16;5.90081067372747E+16;0.00330974957660996;NULL
51;Mato Grosso;MT;5106422;Peixoto de Azevedo;5;5101;51003;51086727;CRECHE ESC DE EDUC INF CRIANCA FELIZ;34976;8859;120;0;6320;NULL;2.53287968892955E+15;7.1339880347669E+15;0.0135455469014561;0
52;Goias;GO;5215231;Novo Gama;5;5204;52012;52098443;CENTRO MUNICIPAL DE EDUCACAO INFANTIL TIA NENGA;115711;20192;130;0;14780;NULL;1.74503720476014E+15;731973058637084;0.00643819334389857;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53015517;CEI 02 DE BRAZLANDIA;3015268;720439;483;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000670424560580424;NULL
52;Goias;GO;5206404;Crixás;5;5201;52001;52096718;ESCOLA MUNICIPAL DE EDUCACAO EM TEMPO INTEGRAL URSULINO TAVARES LEAO;16949;3918;207;207;1920;NULL;2.31164080476724E+15;4.90045941807044E+15;0.052833078101072;1
