CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
52;Goias;GO;5221007;Taquaral de Goiás;5;5203;52007;52104710;ESCOLA INFANTIL LETRAS MAGICAS;3529;710;50;NULL;80;NULL;2.01190138849532E+16;1.12676056338028E+16;0.0704225352112676;NULL
52;Goias;GO;5208004;Formosa;5;5204;52012;52046877;ESC MUL LIAOZINHO;121617;26886;127;0;9400;NULL;2.21071067367227E+16;3.49624339805103E+16;0.00472364799523916;0
51;Mato Grosso;MT;5106851;Porto Estrela;5;5103;51013;51054361;EE REGINA TENORIO DE OLIVEIRA;2963;903;513;NULL;360;36;3.04758690516369E+16;3.98671096345515E+15;0.568106312292359;NULL
50;Mato Grosso do Sul;MS;5007307;Rio Negro;5;5002;50004;50009672;EE LEONTINO ALVES DE OLIVEIRA;4831;1197;505;NULL;340;NULL;2.47774787828607E+15;2.84043441938179E+16;0.421888053467001;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53002482;CED 08 DO GAMA;3015268;720439;1095;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00151990661249599;NULL
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51043351;EE DOMINGOS SAVIO BRANDAO LIMA;284971;72805;528;NULL;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.00725224915871163;NULL
50;Mato Grosso do Sul;MS;5005608;Miranda;5;5001;50002;50026461;CAIC - MARIA HENRIQUETA REBUA SIUFI;28013;7533;854;0;3150;NULL;2.68910862813694E+16;4.1816009557945E+15;0.113367848134873;0
51;Mato Grosso;MT;5107909;Sinop;5;5101;51007;51156806;ESCOLA MUN DE EDUC INFANTIL PEQUENO PRINCIPE;142996;40476;403;8;24660;NULL;2.83056868723601E+16;6.09249925882004E+16;0.00995651744243502;0.0194647201946472
51;Mato Grosso;MT;5103379;Cotriguaçu;5;5101;51001;51093197;EE BENICIO TRETEL DA SILVA;19750;2842;401;NULL;780;57;1.43898734177215E+15;2.74454609429979E+15;0.14109781843772;NULL
52;Goias;GO;5217609;Planaltina;5;5204;52012;52050866;COLEGIO ESTADUAL COMPLEXO N 5;89918;25429;500;NULL;14800;108;2.82802108587824E+16;5.82012662707932E+15;0.0196625899563491;NULL
50;Mato Grosso do Sul;MS;5004601;Itaquiraí;5;5004;50011;50030710;ESCOLA FAMILIA AGRICOLA DE ITAQUIRAI;21142;5303;232;NULL;3420;NULL;2.50827736259578E+15;644917970959834;0.0437488214218367;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53016343;CEPI SABIA-DO-CAMPO;3015268;720439;135;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000187385746746081;NULL
52;Goias;GO;5214606;Niquelândia;5;5202;52004;52008720;ESCOLA ESTADUAL PROFESSOR AGOSTINHO NUNES DE SOUZA;46388;8114;330;NULL;5840;NULL;1.74915926532724E+16;7.19743652945526E+15;0.0406704461424698;NULL
52;Goias;GO;5209705;Hidrolândia;5;5203;52010;52094120;CRECHE MUNICIPAL VO DITA;21706;5383;163;62;3140;NULL;2.47995945821432E+16;5.83317852498607E+15;0.0302805127252461;0.380368098159509
51;Mato Grosso;MT;5106752;Pontes e Lacerda;5;5103;51012;51025663;EE ANTONIO CARLOS DE BRITO;45436;12008;689;NULL;7970;NULL;2.64283827801743E+15;6.63724183877415E+15;0.0573784143904064;NULL
51;Mato Grosso;MT;5107008;Poxoréu;5;5105;51020;51061716;LICEU PEDAGOGICO SAO FRANCISCO DE ASSIS;16219;4323;28;NULL;5590;NULL;2.6653924409643E+15;1.29308350682397E+15;0.00647698357622022;NULL
52;Goias;GO;5201108;Anápolis;5;5203;52007;52021807;ESCOLA PINGUINHO DE GENTE;386923;89054;320;NULL;44350;NULL;2.30159489097314E+16;4.98012441889191E+15;0.00359332539807308;NULL
52;Goias;GO;5217104;Piracanjuba;5;5205;52015;52061191;ESCOLA SOL NASCENTE;24524;4767;177;NULL;1650;NULL;1.94381014516392E+16;3.46129641283826E+16;0.0371302706104468;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53012194;CEM 111 DO RECANTO DAS EMAS;3015268;720439;1812;NULL;469020;312;2.38930337203857E+16;6.51019725472941E+15;0.00251513313410296;NULL
52;Goias;GO;5220207;São Miguel do Araguaia;5;5201;52001;52001202;CENTRO DE ENSINO EM PERIODO INTEGRAL DR DORIVAL BRANDAO DE ANDRADE;21993;5595;328;NULL;3290;NULL;2.54399126994953E+16;5.88025022341376E+16;0.0586237712243074;NULL
51;Mato Grosso;MT;5107040;Primavera do Leste;5;5105;51019;51046920;EE JOAO RIBEIRO VILELA;62019;19994;680;NULL;16050;NULL;3.22385075541366E+16;802740822246674;0.0340102030609183;NULL
52;Goias;GO;5209101;Goiatuba;5;5205;52015;52059120;ESCOLA MUNICIPAL PROFESSORA NARA DE OLIVEIRA BORGES;34095;7402;235;2;3520;NULL;2.17099281419563E+16;4.75547149419076E+15;0.0317481761686031;0.00851063829787234
52;Goias;GO;5205109;Catalão;5;5205;52017;52103846;PAE - POUSADINHA ANTONIO EMILIO;108823;23729;108;NULL;11380;NULL;2.18051331060529E+16;4.79581946141852E+15;0.00455139281048506;NULL
52;Goias;GO;5221403;Trindade;5;5203;52010;52039790;ESCOLA ESTADUAL ABRAO MANOEL DA COSTA;127599;29506;221;NULL;13690;NULL;2.31240056740257E+16;4.63973429133058E+16;0.00749000203348471;NULL
52;Goias;GO;5219753;Santo Antônio do Descoberto;5;5204;52012;52051323;EMEF ABDON ELIAS;74744;19219;1589;0;16810;542;2.57131007171144E+15;8.74655289036891E+15;0.0826785993027733;0
51;Mato Grosso;MT;5107909;Sinop;5;5101;51007;51175819;EMEI TARSILA DO AMARAL;142996;40476;384;3;24660;NULL;2.83056868723601E+16;6.09249925882004E+16;0.00948710346872221;0.00775193798449612
52;Goias;GO;5207352;Edealina;5;5205;52014;52082199;ESCOLA MUNICIPAL 15 DE ABRIL;3699;786;259;12;0;NULL;2.12489862124899E+16;0;0.329516539440204;0.044280442804428
52;Goias;GO;5209903;Iaciara;5;5204;52011;52099954;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DIVINA COSTA DE PAULA;13947;3902;202;1;1610;NULL;2.79773427977343E+15;4.12608918503332E+16;0.0517683239364429;0.00495049504950495
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53016432;CIL 01 DO RECANTO DAS EMAS;3015268;720439;1689;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00234440389817875;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52074021;ESCOLA MUNICIPAL RURAL DE ENSINO FUNDADAMENTAL AGUA MANSA COQUEIROS;235647;48352;70;0;24520;NULL;2.05188268893727E+16;507114493712773;0.00144771674387823;0
50;Mato Grosso do Sul;MS;5000906;Antônio João;5;5004;50010;50015311;ESCOLA MUNICIPAL MAIKA SANABRIA PINHEIRO;8956;3276;599;16;1850;98;3.65788298347477E+16;5.64713064713065E+15;0.182844932844933;0.0260162601626016
52;Goias;GO;5208707;Goiânia;5;5203;52010;52094286;ESC MUL PROFESSORA NARA DO CARMO REZENDE AMORIM;1516113;279830;899;51;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00321266483221956;0.0567296996662959
