CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
50;Mato Grosso do Sul;MS;5007406;Rio Verde de Mato Grosso;5;5002;50003;50004158;ESCOLA MUNICIPAL POLO DR CESAR GALVAO;19973;4562;573;0;1700;NULL;2.2840835127422E+16;3.72643577378343E+16;0.125602805786936;0
51;Mato Grosso;MT;5107602;Rondonópolis;5;5105;51021;51093758;CENTRO DE ENSINO GALILEU GALILEI;236042;55547;251;NULL;25040;NULL;2.35326763881004E+16;4.50789421570922E+15;0.00451869587916539;NULL
51;Mato Grosso;MT;5107040;Primavera do Leste;5;5105;51019;51066963;ESCOLA ESTADUAL PROFESSORA MARIA SEBASTIANA DE SOUZA;63092;19999;1358;NULL;13570;115;3.16981550751284E+15;6.78533926696335E+15;0.0679033951697585;NULL
50;Mato Grosso do Sul;MS;5003207;Corumbá;5;5001;50001;50000357;ENAM - ESCOLA NEUSA ASSAD MALTA;112058;26756;138;NULL;15600;NULL;2.38769208802584E+16;5.83046793242637E+15;0.00515772163253102;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52038149;INSTITUTO PRESBITERIANO DE EDUCACAO;1536097;276809;1277;54;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.00461328930778985;0.0422866092404072
52;Goias;GO;5200258;Águas Lindas de Goiás;5;5204;52012;52078523;COLEGIO ESTADUAL PRINCESA DAIANA;217698;52067;1792;NULL;20040;NULL;2.39170777866586E+16;3.84888701096664E+15;0.0344171932317975;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50009060;COLEGIO MARIA MONTESSORI;906092;213876;622;NULL;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00290822719706746;NULL
52;Goias;GO;5212709;Mambaí;5;5204;52011;52096670;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARY GONCALVES TEIXEIRA;9081;1939;248;0;0;NULL;2.13522739786367E+16;0;0.127900979886539;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53009428;COL COC LAGO NORTE;3055149;715700;523;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.000730753108844488;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52093204;CMEI RESIDENCIAL ITAMARACA;1536097;276809;151;151;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000545502494499818;0.926380368098159
52;Goias;GO;5217609;Planaltina;5;5204;52012;52073319;COLEGIO MORAES GUALBERTO;90640;25086;468;NULL;13610;NULL;2.76765225066196E+16;5.42533684126605E+15;0.0186558239655585;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50032003;EMEI - MARIA DULCE PRATA CANCADO;906092;213876;233;142;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00108941629729376;0.609442060085837
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52074447;ESCOLA INFANTIL ARCO IRIS;241518;50563;255;NULL;25420;NULL;2.09354996314974E+16;5.02739157091154E+15;0.00504321341692542;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52100855;ESCOLA EVANGELICA TRACOS E LETRAS;1536097;276809;129;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000466025309870705;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53002105;CENTRO EDUCACIONAL PIA-MATER;3055149;715700;432;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.000603604862372503;NULL
50;Mato Grosso do Sul;MS;5003157;Coronel Sapucaia;5;5004;50011;50032992;MBO EROY ARANDU;15352;4930;563;0;1960;NULL;3.21130797290255E+16;3.97565922920893E+15;0.11419878296146;0
51;Mato Grosso;MT;5102702;Canarana;5;5102;51010;51022770;EE 31 DE MARCO;21842;6208;642;NULL;2680;NULL;2.84223056496658E+15;4.31701030927835E+16;0.103414948453608;NULL
52;Goias;GO;5200308;Alexânia;5;5204;52012;52044084;ESC MUL PE GREGORIANO DOS SANTOS FILHO;28010;6568;259;0;2780;NULL;2.34487682970368E+16;4.2326431181486E+15;0.0394336175395859;0
52;Goias;GO;5201108;Anápolis;5;5203;52007;52020428;COLEGIO ESTADUAL GOMES DE SOUZA RAMOS;391772;85693;325;NULL;43520;NULL;2.18731813401672E+16;5.07859451763855E+15;0.00379260849777695;NULL
52;Goias;GO;5212501;Luziânia;5;5204;52012;52188523;CENTRO MUNICIPAL DE EDUCACAO BASICA CARLINDA ROSA DE BARROS MACHADO;211508;48901;122;0;22860;NULL;2.31201656674925E+16;4.67475102758635E+15;0.00249483650641091;0
50;Mato Grosso do Sul;MS;5004601;Itaquiraí;5;5004;50011;50029045;CEI PEQUENO PRINCIPE;21376;4988;91;70;2520;NULL;2.33345808383234E+16;5.05212510024058E+15;0.0182437850842021;0.769230769230769
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51036576;EE DJALMA FERREIRA DE SOUZA;618124;144743;271;NULL;90120;NULL;2.34164989549023E+16;6.22620783043049E+15;0.0018722839791907;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53015320;CR CRUZ DE MALTA NOSSA SENHORA DO FILERMO;3055149;715700;252;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00035210283638396;NULL
51;Mato Grosso;MT;5105580;Marcelândia;5;5101;51007;51060558;EE PAULO FREIRE;10301;3111;765;NULL;250;NULL;3.02009513639453E+15;8.03600128576021E+15;0.245901639344262;NULL
50;Mato Grosso do Sul;MS;5004106;Guia Lopes da Laguna;5;5004;50009;50014463;EM BASILIO BARBOSA;9824;2557;753;13;1390;NULL;2.60280944625407E+15;543605788032851;0.294485725459523;0.0169712793733681
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51038722;EE JOAQUINA CERQUEIRA CALDAS;618124;144743;405;NULL;90120;NULL;2.34164989549023E+16;6.22620783043049E+15;0.00279806277332928;NULL
52;Goias;GO;5213103;Mineiros;5;5205;52013;52053458;CENTRO DE ENSINO EM PERIODO INTEGRAL CORONEL CARRIJO;68154;16336;252;NULL;7280;NULL;2.39692461190833E+16;44564152791381;0.0154260528893242;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50025821;EMEI - SERRADINHO;906092;213876;150;105;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.000701340963923021;0.7
51;Mato Grosso;MT;5106778;Porto Alegre do Norte;5;5102;51009;51190990;EE ANTONIA LEAO DOS SANTOS;12685;2476;179;NULL;2340;54;1.95191170674024E+16;9.45072697899838E+15;0.0722940226171244;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52033430;COLEGIO ESTADUAL EDMUNDO ROCHA VILA MUTIRAO;1536097;276809;894;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.00322966377538303;NULL
50;Mato Grosso do Sul;MS;5002407;Caarapó;5;5004;50010;50024914;CMEI ARISTIDES MACIEL DA SILVA;30593;8571;133;2;3280;NULL;2.80162128591508E+16;3.82685800956715E+15;0.0155174425387936;0.0150375939849624
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102670;ESCOLA PORTAL DO SABER;1536097;276809;80;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000289007944105864;NULL
51;Mato Grosso;MT;5108600;Vila Rica;5;5102;51009;51021218;EM NOVA LISBOA;26496;4414;38;0;2500;NULL;1.66591183574879E+16;5.66379700951518E+15;0.00860897145446307;0
52;Goias;GO;5219712;Santo Antônio da Barra;5;5205;52013;52055680;ESCOLA MUNICIPAL SANTA MARTA;4854;969;45;0;380;NULL;1.99629171817058E+15;392156862745098;0.0464396284829721;0
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102521;COLEGIO RECANTO DO SABER;1536097;276809;375;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.00135472473799624;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51093979;CRECHE MUNICIPAL EDNA CATHARINA PERRI RICCI;618124;144743;104;104;90120;NULL;2.34164989549023E+16;6.22620783043049E+15;0.000718514885003074;1
52;Goias;GO;5208707;Goiânia;5;5203;52010;52100286;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MORADA DO SOL;1536097;276809;206;206;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000744195456072599;1
50;Mato Grosso do Sul;MS;5003207;Corumbá;5;5001;50001;50032267;ESCOLA MUNICIPAL RURAL DE EDUCACAO INTEGRAL POLO PARAGUAI MIRIM E EXTENSOES;112058;26756;92;92;15600;NULL;2.38769208802584E+16;5.83046793242637E+15;0.00343848108835401;1
52;Goias;GO;5211909;Jataí;5;5205;52013;52099628;CENTRO MUNICIPAL DE EDUCACAO INFANTIL EUDES ASSIS CARVALHO;102065;23130;78;78;8190;NULL;2.26620290991035E+16;3.5408560311284E+16;0.00337224383916991;1
52;Goias;GO;5208707;Goiânia;5;5203;52010;52036022;ESC MUL CEL JOSE VIANA ALVES;1536097;276809;756;20;129240;81;1.80202812712999E+16;4.66892333703023E+16;0.00273112507180041;0.0264550264550265
52;Goias;GO;5218300;Posse;5;5204;52011;52041891;ESCOLA ESTADUAL DR JOAO TEIXEIRA JUNIOR;37414;9474;664;NULL;4180;173;2.53220719516758E+16;4.41207515305045E+16;0.0700865526704665;NULL
52;Goias;GO;5211909;Jataí;5;5205;52013;52146200;CENTRO DE ATENDIMENTO CAQUE APAE;102065;23130;47;NULL;8190;NULL;2.26620290991035E+16;3.5408560311284E+16;0.00203199308257674;NULL
50;Mato Grosso do Sul;MS;5007208;Rio Brilhante;5;5004;50010;50031201;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL SAO JUDAS;38186;9507;102;0;2600;NULL;2.48965589483057E+15;2.73482696960135E+16;0.0107289365730514;0
52;Goias;GO;5208608;Goianésia;5;5203;52006;52015998;ESCOLA ESTADUAL PEDRO MENDONCA;71075;17097;592;NULL;7640;NULL;2.40548716144917E+16;4.4686202257706E+15;0.0346259577703691;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53016599;COL OBJETIVO DF - UNIDADE VII;3055149;715700;623;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.0008704764566159;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52092445;CENTRO DE EDUCACAO INFANTIL ESPIRITA VOVO MECA;1536097;276809;95;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000343196933625713;NULL
51;Mato Grosso;MT;5107008;Poxoréu;5;5105;51020;51086492;ESCOLA INDIGENA MUNICIPAL ETE ARE;15916;4400;22;0;5170;NULL;2.76451369690877E+15;1175;0.005;0
52;Goias;GO;5212105;Joviânia;5;5205;52015;52094677;ESCOLA MUNICIPAL PROFESSORA ADELIA AUGUSTA DE OLIVEIRA;7402;1430;294;1;350;35;1.931910294515E+15;2.44755244755245E+16;0.205594405594406;0.00340136054421769
52;Goias;GO;5213905;Mossâmedes;5;5203;52009;52127206;CMEI MARIA MARQUES DE SANTANA;4206;857;102;102;170;NULL;2.0375653827865E+16;1.98366394399067E+16;0.11901983663944;1
50;Mato Grosso do Sul;MS;5001102;Aquidauana;5;5001;50002;50034014;CMEI PROF JOSE RODOLFO FALCAO;48029;12332;187;117;4870;NULL;2.56761539902975E+15;3.94907557573792E+16;0.0151638014920532;0.625668449197861
50;Mato Grosso do Sul;MS;5001102;Aquidauana;5;5001;50002;50030400;EE INDIGENA DE EM PROF DOMINGOS V MARCOS - MIHIN;48029;12332;191;NULL;4870;NULL;2.56761539902975E+15;3.94907557573792E+16;0.0154881608822575;NULL
51;Mato Grosso;MT;5107958;Tangará da Serra;5;5103;51013;51028700;EE ANTONIO HORTOLLANI;105711;25673;108;NULL;14360;20;2.42860251061857E+16;5.59342499902621E+15;0.00420675417754061;NULL
52;Goias;GO;5213806;Morrinhos;5;5205;52015;52103234;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA ROSA DOS SANTOS;46548;10069;159;159;3630;NULL;2.16314342184412E+16;360512463998411;0.0157910418115006;1
52;Goias;GO;5212501;Luziânia;5;5204;52012;52047512;COLEGIO ESTADUAL POSTO IPE;211508;48901;878;NULL;22860;NULL;2.31201656674925E+16;4.67475102758635E+15;0.0179546430543343;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50007734;O CASULO ESTABELECIMENTO DE ENSINO;906092;213876;113;NULL;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.000528343526155342;NULL
52;Goias;GO;5218508;Quirinópolis;5;5205;52018;52067912;CENTRO DE ENSINO EM PERIODO INTEGRAL OLGA PARREIRA;50701;10638;77;NULL;5130;NULL;2.0981834677817E+16;4.82233502538071E+16;0.00723820266967475;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52087727;CMEI BAIRRO GOIA;1536097;276809;202;202;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000729745058867306;1
52;Goias;GO;5204904;Campos Belos;5;5202;52005;52012620;COLEGIO ESTADUAL FELISMINA CARDOSO BATISTA;20007;5011;469;NULL;2030;NULL;2.50462338181636E+16;4.05108760726402E+16;0.0935940929954101;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50009141;COLEGIO STATUS - JARDIM PAULISTA;906092;213876;552;NULL;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00258093474723672;NULL
52;Goias;GO;5200258;Águas Lindas de Goiás;5;5204;52012;52100642;CRECHE MUNICIPAL INDIARA CARNEIRO MACHADO LISBOA;217698;52067;165;115;20040;NULL;2.39170777866586E+16;3.84888701096664E+15;0.00316899379645457;0.696969696969697
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53006518;EC PARANA;3055149;715700;470;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.000656699734525639;NULL
52;Goias;GO;5220207;São Miguel do Araguaia;5;5201;52001;52001199;COLEGIO ESTADUAL DE SAO MIGUEL DO ARAGUAIA;21920;4812;815;NULL;4660;193;2.19525547445256E+15;968412302576891;0.169368246051538;NULL
51;Mato Grosso;MT;5105176;Juruena;5;5101;51001;51194830;UNIDADE DE EDUCACAO INFANTIL JARDIM ENCANTADO;16335;2595;276;12;900;NULL;1.58861340679523E+15;3.46820809248555E+15;0.10635838150289;0.0434782608695652
52;Goias;GO;5208400;Goianápolis;5;5203;52010;52068994;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS BENEDITA BRITO DE ANDRADE;11224;3158;782;NULL;1850;NULL;2.8136136849608E+16;5.8581380620646E+15;0.247625079164028;NULL
51;Mato Grosso;MT;5108006;Tapurah;5;5101;51006;51067617;CMEI MONTEIRO LOBATO;14046;3398;210;123;2030;NULL;2.41919407660544E+16;5.97410241318423E+15;0.0618010594467334;0.585714285714286
52;Goias;GO;5210406;Itaberaí;5;5203;52007;52023540;ESCOLA MUNICIPALIZADA SAO BENEDITO;43622;9856;250;9;2630;NULL;2.25941038925313E+16;2.66842532467532E+16;0.0253652597402597;0.0347490347490347
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53001702;CEF 405 SUL;3055149;715700;420;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.000586838060639933;NULL
51;Mato Grosso;MT;5100102;Acorizal;5;5104;51016;51033879;EMPG DE CAMPO LIMPO;5334;1532;39;0;3290;NULL;2.8721409823772E+16;2.14751958224543E+16;0.0254569190600522;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53007670;EC 06 DE CEILANDIA;3055149;715700;875;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00122257929299986;NULL
52;Goias;GO;5203500;Bom Jesus de Goiás;5;5205;52015;52058050;ESCOLA MUNICIPAL PEDRO LUDOVICO TEIXEIRA;25648;5563;358;0;3480;NULL;2.16898003742982E+15;6.25561747258673E+15;0.0643537659536221;0
50;Mato Grosso do Sul;MS;5003454;Deodápolis;5;5004;50011;50019660;EE 13 DE MAIO;12984;3101;827;NULL;2210;60;2.38832409118916E+15;7.12673331183489E+15;0.26668816510803;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50005618;COLEGIO ADVENTISTA JARDIM DOS ESTADOS;906092;213876;796;NULL;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00372178271521816;NULL
52;Goias;GO;5212501;Luziânia;5;5204;52012;52103099;COLEGIO ESTADUAL DELFINO OCLECIO MACHADO;211508;48901;2007;NULL;22860;186;2.31201656674925E+16;4.67475102758635E+15;0.0410421054784156;NULL
51;Mato Grosso;MT;5100359;Alto Boa Vista;5;5102;51009;51018551;EE JOAO REZENDE DE AZEVEDO;6936;1278;455;NULL;400;28;1.84256055363322E+15;3.12989045383412E+15;0.356025039123631;NULL
52;Goias;GO;5208608;Goianésia;5;5203;52006;52016005;ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA;71075;17097;580;NULL;7640;224;2.40548716144917E+16;4.4686202257706E+15;0.0339240802479967;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52096599;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ANTONIO VIEIRA DE MORAES;241518;50563;568;21;25420;NULL;2.09354996314974E+16;5.02739157091154E+15;0.0112335106698574;0.0356536502546689
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50006410;EE JOAQUIM MURTINHO;906092;213876;1759;NULL;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00822439170360396;NULL
52;Goias;GO;5201108;Anápolis;5;5203;52007;52020924;COLEGIO ESTADUAL GENERAL CURADO;391772;85693;1154;NULL;43520;NULL;2.18731813401672E+16;5.07859451763855E+15;0.0134666775582603;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51063190;CRECHE MUN EMBRIAO JOSE NICOLAU PINTO;618124;144743;79;79;90120;NULL;2.34164989549023E+16;6.22620783043049E+15;0.000545794960723489;1
52;Goias;GO;5205000;Carmo do Rio Verde;5;5203;52006;52098451;CENTRO MUNICIPAL DE EDUCACAO OLIVIA GOMES PINTO;10186;1601;222;142;900;NULL;1.57176516787748E+16;5.62148657089319E+16;0.138663335415365;0.63963963963964
51;Mato Grosso;MT;5104104;Guarantã do Norte;5;5101;51003;51086476;EMI MATUKRE;36130;8614;230;0;7060;18;2.38416828120675E+16;8.19596006501045E+15;0.0267007197585326;0
52;Goias;GO;5201405;Aparecida de Goiânia;5;5203;52010;52097684;ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL RETIRO DO BOSQUE;590146;118693;423;423;64610;NULL;2.01124806403839E+16;5.44345496364571E+15;0.00356381589478739;1
51;Mato Grosso;MT;5107040;Primavera do Leste;5;5105;51019;51066610;IFMT - CAMPUS PRIMAVERA DO LESTE;63092;19999;684;NULL;13570;NULL;3.16981550751284E+15;6.78533926696335E+15;0.0342017100855043;NULL
52;Goias;GO;5209150;Gouvelândia;5;5205;52018;52067289;COLEGIO ESTADUAL JOSE RODRIGUES MORENO;5988;1051;464;NULL;430;43;1.75517702070808E+16;4.09134157944815E+15;0.441484300666032;NULL
51;Mato Grosso;MT;5101852;Bom Jesus do Araguaia;5;5102;51009;51088894;EE PROF GERSON CARLOS DA SILVA;6706;2033;751;NULL;870;87;3.03161348046526E+15;4.27939006394491E+15;0.369404820462371;NULL
51;Mato Grosso;MT;5107602;Rondonópolis;5;5105;51021;51061090;LAR SAO DOMINGOS SAVIO;236042;55547;35;NULL;25040;NULL;2.35326763881004E+16;4.50789421570922E+15;0.000630097034943381;NULL
52;Goias;GO;5205497;Cidade Ocidental;5;5204;52012;52098206;ESCOLA MUNICIPAL ALBINO BATISTA FERREIRA;72890;20381;1104;1;14130;208;2.79613115653725E+16;6.93292772680438E+15;0.0541680977380894;0.000899280575539568
52;Goias;GO;5213103;Mineiros;5;5205;52013;52053547;ESCOLA MUNICIPAL DOM BOSCO;68154;16336;293;30;7280;NULL;2.39692461190833E+16;44564152791381;0.017935847208619;0.102389078498294
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53009266;EC GUARIROBA;3055149;715700;400;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00055889339108565;NULL
52;Goias;GO;5204300;Caçu;5;5205;52018;52085180;CRECHE MUNICIPAL DR VANDER LUIZ BOSCO;16270;2627;171;133;890;NULL;1.61462814996927E+16;3.38789493719071E+15;0.0650932622763609;0.777777777777778
52;Goias;GO;5209200;Guapó;5;5203;52010;52038572;CENTRO DE ENSINO EM PERIODO INTEGRAL VALDIVINO SERAFIM;14207;3635;177;NULL;1700;NULL;2.55859787428732E+16;4.6767537826685E+15;0.0486932599724897;NULL
51;Mato Grosso;MT;5100250;Alta Floresta;5;5101;51002;51110601;EE RODRIGUES ALVES;51959;13017;65;NULL;9100;NULL;2.50524451971747E+16;6.99085810862718E+15;0.00499347007759084;NULL
51;Mato Grosso;MT;5107909;Sinop;5;5101;51007;51069849;COLEGIO MARISTA SANTO ANTONIO;146005;41036;167;NULL;24060;NULL;2.81058867846992E+15;586314455599961;0.00406959742664977;NULL
52;Goias;GO;5201405;Aparecida de Goiânia;5;5203;52010;52097234;IFG - CAMPUS APARECIDA DE GOIANIA;590146;118693;377;NULL;64610;108;2.01124806403839E+16;5.44345496364571E+15;0.00317626144760011;NULL
52;Goias;GO;5215504;Ouvidor;5;5205;52017;52066576;ESCOLA ESTADUAL DACIO AMORIM FONSECA;6782;1418;139;NULL;0;NULL;2.09082866411088E+16;0;0.0980253878702398;NULL
52;Goias;GO;5212204;Jussara;5;5201;52002;52003809;CENTRO DE ENSINO EM PERIODO INTEGRAL DOUTOR BRASIL RAMOS CAIADO;18371;4126;159;NULL;300;NULL;2.24593108703936E+16;7.27096461463888E+15;0.038536112457586;NULL
52;Goias;GO;5202601;Aurilândia;5;5203;52009;52028917;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR ADALBERTO SOBRINHO DE SOUZA;3058;452;204;NULL;0;NULL;1.47809025506867E+16;0;0.451327433628319;NULL
52;Goias;GO;5204250;Cachoeira Dourada;5;5205;52015;52058476;ESC MUL FRANCISCO FERREIRA DE MELO;8031;1672;108;0;0;NULL;2.08193251151787E+16;0;0.0645933014354067;0
