CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
52;Goias;GO;5201108;Anápolis;5;5203;52007;52021017;ESCOLA PATRONATO MADRE MAZZARELLO;391772;85693;707;NULL;43520;NULL;2.18731813401672E+16;5.07859451763855E+15;0.00825038217824093;NULL
52;Goias;GO;5200258;Águas Lindas de Goiás;5;5204;52012;52075583;COLEGIO ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;217698;52067;1557;NULL;20040;267;2.39170777866586E+16;3.84888701096664E+15;0.0299037778247258;NULL
52;Goias;GO;5206404;Crixás;5;5201;52001;52096718;ESCOLA MUNICIPAL DE EDUCACAO EM TEMPO INTEGRAL URSULINO TAVARES LEAO;17044;3604;205;205;1730;NULL;2.11452710631307E+16;4.80022197558269E+15;0.056881243063263;1
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53015517;CEI 02 DE BRAZLANDIA;3055149;715700;477;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.000666480368869638;NULL
51;Mato Grosso;MT;5106158;Nova Bandeirantes;5;5101;51002;51004917;E M JOSE LUIZ CANDIDO;15685;2759;232;2;380;NULL;1.75900541919031E+16;1.37731061978978E+16;0.084088437839797;0.00862068965517241
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50024507;EM AGRICOLA GOV ARNALDO ESTEVAO DE FIGUEIREDO;906092;213876;421;421;66880;NULL;2.36042256194735E+15;3.12704557781144E+15;0.00196843030541061;0.970046082949309
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53003578;CED 02 DE TAGUATINGA;3055149;715700;1976;NULL;422250;1976;2.34260260301543E+15;5.8998183596479E+15;0.00276093335196311;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005309;CAIC JULIA KUBITSCHEK DE OLIVEIRA;3055149;715700;1512;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00211261701830376;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53003640;CED CATOLICA DE BRASILIA;3055149;715700;2862;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00399888221321783;NULL
51;Mato Grosso;MT;5106281;Novo São Joaquim;5;5102;51010;51023466;EMEB JOAQUIM RODRIGUES SOTO;4938;1715;426;0;610;NULL;3.47306601863102E+16;3.55685131195335E+16;0.248396501457726;0
51;Mato Grosso;MT;5105259;Lucas do Rio Verde;5;5101;51006;51068842;CEI GIRASSOL;67620;20825;469;25;9170;NULL;3.07971014492754E+15;4.40336134453782E+15;0.0225210084033613;0.0533049040511727
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51043297;EMEB JOAQUIM DA CRUZ COELHO;287526;68764;351;67;59700;NULL;2.39157502278055E+16;8.68186841952184E+15;0.0051044151009249;0.190883190883191
52;Goias;GO;5208707;Goiânia;5;5203;52010;52103420;ESCOLA RODA VIVA;1536097;276809;198;NULL;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.000715294661662012;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52094308;ESC MUL LUZIA DE SOUZA FIUZA;1536097;276809;611;3;129240;NULL;1.80202812712999E+16;4.66892333703023E+16;0.00220729817310853;0.00490998363338789
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005015;CEM 01 DE BRAZLANDIA;3055149;715700;1312;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00183317032276093;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52054209;COLEGIO ESTADUAL MARTINS BORGES;241518;50563;1303;NULL;25420;NULL;2.09354996314974E+16;5.02739157091154E+15;0.025769831695113;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53009002;CEF 411 DE SAMAMBAIA;3055149;715700;1342;NULL;422250;302;2.34260260301543E+15;5.8998183596479E+15;0.00187508732709236;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53011589;CEF 30 DE CEILANDIA;3055149;715700;872;NULL;422250;NULL;2.34260260301543E+15;5.8998183596479E+15;0.00121838759256672;NULL
52;Goias;GO;5221858;Valparaíso de Goiás;5;5204;52012;52047300;COLEGIO ESTADUAL DESEMBARGADOR DILERMANDO MEIRELES;172135;40186;537;NULL;24440;NULL;2.33456298835217E+16;6.08172000199074E+15;0.0133628626884985;NULL
52;Goias;GO;5211909;Jataí;5;5205;52013;52094022;CENTRO EDUCACIONAL TALENTO LTDA-ME;102065;23130;114;NULL;8190;NULL;2.26620290991035E+16;3.5408560311284E+16;0.00492866407263294;NULL
